epoch;categorical_accuracy;f1-score;iou_score;loss;lr;val_categorical_accuracy;val_f1-score;val_iou_score;val_loss
0;0.2696719467639923;0.5362618565559387;0.38983869552612305;0.5797121524810791;0.001;0.9389503598213196;2.7812436798058116e-09;2.7812436798058116e-09;1.022029161453247
1;0.11422401666641235;0.7169640064239502;0.5632479190826416;0.2900274991989136;0.001;0.9830137491226196;1.5782871898295525e-08;1.5782871898295525e-08;1.0182685852050781
2;0.09974294155836105;0.7499079704284668;0.6035653352737427;0.2556401491165161;0.001;0.0017618979327380657;1.5782871898295525e-08;1.5782871898295525e-08;1.0212647914886475
3;0.06883180886507034;0.7818114161491394;0.645016074180603;0.223139226436615;0.001;0.9388929605484009;0.025112368166446686;0.013439200818538666;0.9816431999206543
4;0.06141437590122223;0.7889971733093262;0.6550906300544739;0.21566833555698395;0.001;0.02095154859125614;0.2371348887681961;0.14284494519233704;0.7729036211967468
5;0.05713658407330513;0.8088197708129883;0.6815760135650635;0.19488893449306488;0.001;0.027452530339360237;0.7436524033546448;0.5970092415809631;0.2625502347946167
6;0.06574151664972305;0.8186601996421814;0.6954259872436523;0.1852121651172638;0.001;0.7028254866600037;0.2576445937156677;0.15691116452217102;0.75929194688797
7;0.062267791479825974;0.8308106660842896;0.7128851413726807;0.17253825068473816;0.001;0.043514374643564224;0.8104726672172546;0.6842797994613647;0.19357697665691376
8;0.08185993134975433;0.8275313973426819;0.7084139585494995;0.1761341392993927;0.001;0.5862333178520203;0.153622105717659;0.09949836134910583;0.8672434091567993
9;0.08853794634342194;0.8303474187850952;0.712639331817627;0.17311722040176392;0.001;0.15528328716754913;0.7392247319221497;0.5916886925697327;0.2667676508426666
10;0.11093354970216751;0.8403010368347168;0.7269300818443298;0.16295307874679565;0.001;0.39057379961013794;0.8352358937263489;0.7189198732376099;0.16804222762584686
11;0.14310406148433685;0.8430986404418945;0.730957567691803;0.16024081408977509;0.001;0.044902924448251724;0.8395841717720032;0.7253971099853516;0.16359731554985046
12;0.0664212629199028;0.8580552935600281;0.7535711526870728;0.14481370151042938;0.001;0.025713028386235237;0.8464007377624512;0.7352370619773865;0.15675318241119385
13;0.05029551312327385;0.8762438893318176;0.7811858057975769;0.12640565633773804;0.001;0.18095102906227112;0.8574175238609314;0.7524089217185974;0.14569760859012604
14;0.06522266566753387;0.8716477751731873;0.7740249037742615;0.1312977522611618;0.001;0.30072662234306335;0.37338098883628845;0.23767100274562836;0.6402280330657959
15;0.10998926311731339;0.8720013499259949;0.7745580673217773;0.1307287961244583;0.001;0.23807944357395172;0.8398171663284302;0.7264520525932312;0.16380777955055237
16;0.07617788761854172;0.882998526096344;0.791937530040741;0.11954578012228012;0.001;0.02860284596681595;0.8361575603485107;0.7217831611633301;0.16734005510807037
17;0.07620033621788025;0.8762428164482117;0.7811464667320251;0.12638245522975922;0.001;0.03621845692396164;0.8343112468719482;0.719542920589447;0.16936074197292328
